epoch,train_loss,val_loss,val_top1,val_top3,macro_P,macro_R,macro_F1
1,2.1539097664784332,1.947810423077285,0.6926973406500633,0.8653440270156184,0.7425979461732706,0.692238238735855,0.6903561502842324
2,1.7107470276989514,1.9329644662511656,0.7028281975517096,0.8653440270156184,0.7476778013939537,0.702934033483933,0.7002984696224913
3,1.5702682437887787,1.939776742896132,0.7078936260025327,0.86787674124103,0.7427786619107306,0.7103287928280546,0.7044784359322913
4,1.482660207209652,1.9206478934893885,0.7142254115660617,0.8716758125791473,0.7426570715172547,0.7162598554383244,0.710729563176636
5,1.5962903817941816,1.3859141465730938,0.8172224567327987,0.9514563106796117,0.8337166355584418,0.818220652388906,0.8140773955059442
6,1.2170610812701812,1.342313592420846,0.8290417897847193,0.9527226677923174,0.8554600795766042,0.8343700784645023,0.8294320280138775
7,1.058545521509463,1.2779276958997363,0.8539468130012664,0.9598986914309835,0.8689629474016701,0.8558932850248426,0.8545926655144923
8,0.9577778808790028,1.2816510348191186,0.8459265512874631,0.9535669058674546,0.8570895883546662,0.8495223469553949,0.8452528045002127
9,0.8960533924020069,1.2173191631529692,0.8725200506542845,0.959476572393415,0.8816006776928691,0.8717501147249774,0.8710325430900943
10,0.860775658338773,1.228364349191528,0.8661882650907556,0.961587167581258,0.8741043400056756,0.8694942450122082,0.8657578029998234
11,0.8369820155171905,1.218336186790426,0.8699873364288729,0.9624314056563951,0.8768983460828511,0.8702210130240395,0.8665169760426257
12,0.8194792791537371,1.2019212910675108,0.8754748839172647,0.9565217391304348,0.8778195018041934,0.8784449837111571,0.8746015209855953
13,0.805876871916927,1.204769465152399,0.8746306458421275,0.9560996200928662,0.8796906476317888,0.8756380593027252,0.8729789684715085
14,0.7950079376519816,1.1966339576440603,0.8809624314056564,0.9582102152807092,0.8822218627805519,0.8821669368166024,0.8789247593165713
15,0.7854393413242352,1.1742456798666185,0.877163360067539,0.9624314056563951,0.8777139441074883,0.8759897991314664,0.8738325442489076
16,0.7780213077863057,1.1709414004977619,0.8796960742929506,0.9632756437315323,0.8823983332691505,0.8807919387352355,0.8785044323693998
17,0.7719889351419591,1.1810597401472425,0.8805403123680878,0.9560996200928662,0.8850207407720521,0.8825412147988342,0.8810114353236481
18,0.7670869991469708,1.1769421544946563,0.8805403123680878,0.9628535246939637,0.8814842432013085,0.881912358385977,0.8793864250563564
19,0.7635465448415732,1.165855311929752,0.8839172646686365,0.9653862389193753,0.8843037079269983,0.8850946427551007,0.8829817955842403
20,0.7603520557850222,1.1598463020731298,0.8860278598564796,0.9649641198818066,0.8892594697767284,0.887278866893517,0.8853183191083984
21,0.7582224982029611,1.1615164534056321,0.8847615027437737,0.9662304769945125,0.8866451938230002,0.8858005092435962,0.8841199198771624
22,0.7572059760225585,1.157500918427818,0.8830730265934994,0.9658083579569439,0.88391502728154,0.8853571636888306,0.8826820605805291
23,0.7560320922146926,1.1486430072542886,0.8906711692697341,0.9691853102574927,0.8916919310017234,0.8921146850636927,0.8904359499838105
24,0.755316608129842,1.1662360638593914,0.8872942169691853,0.9662304769945125,0.8900113396569213,0.88927069376112,0.8873719291464532
25,0.7547028194611697,1.1607079606058226,0.8860278598564796,0.9662304769945125,0.8885271248151618,0.8880762296422227,0.8860029248062046
26,0.753952852840218,1.1529322467609113,0.8889826931194597,0.968763191219924,0.891238776916447,0.8907309677695229,0.8891160108808441
27,0.7537408457526678,1.1483965903809927,0.8877163360067539,0.968763191219924,0.8892961863365291,0.8891233440332859,0.8874576841505575
28,0.7535494723456374,1.1545984652687498,0.8881384550443225,0.9696074292950612,0.8899699799111309,0.8893296736480476,0.8878442705695608
29,0.7533943982399298,1.1585093780930609,0.8877163360067539,0.968763191219924,0.889636234233288,0.8891823112892183,0.8874620277474649
30,0.7532594263861004,1.1581904260404707,0.888560574081891,0.9679189531447868,0.8902695765759501,0.8900797091139333,0.8882650714987738
